frame_path,video_name,label,split,frame_index,nose_x,nose_y,left_eye_inner_x,left_eye_inner_y,left_eye_x,left_eye_y,left_eye_outer_x,left_eye_outer_y,right_eye_inner_x,right_eye_inner_y,right_eye_x,right_eye_y,right_eye_outer_x,right_eye_outer_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_pinky_x,left_pinky_y,right_pinky_x,right_pinky_y,left_index_x,left_index_y,right_index_x,right_index_y,left_thumb_x,left_thumb_y,right_thumb_x,right_thumb_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_heel_x,left_heel_y,right_heel_x,right_heel_y,left_foot_index_x,left_foot_index_y,right_foot_index_x,right_foot_index_y
outputs/frames/train/squats/v_BodyWeightSquats_g08_c01/frame_0000.jpg,v_BodyWeightSquats_g08_c01,squats,train,0,0.498673,0.326496,0.498823,0.310231,0.500799,0.310026,0.502627,0.309845,0.489598,0.310134,0.484931,0.310257,0.479487,0.310754,0.497684,0.314941,0.465681,0.317969,0.500344,0.342369,0.488306,0.344928,0.528489,0.404397,0.424737,0.412104,0.515416,0.509835,0.399736,0.531771,0.515981,0.603481,0.388301,0.647663,0.518393,0.629901,0.380314,0.683511,0.516848,0.630242,0.38642,0.68717,0.51187,0.619821,0.391957,0.672975,0.505091,0.62976,0.442951,0.628541,0.505626,0.812966,0.435611,0.809188,0.504804,0.927992,0.418064,0.92653,0.502136,0.951584,0.416596,0.943307,0.521351,0.987317,0.437229,0.987532
outputs/frames/train/squats/v_BodyWeightSquats_g08_c01/frame_0001.jpg,v_BodyWeightSquats_g08_c01,squats,train,1,0.500553,0.326977,0.500588,0.310929,0.502863,0.310808,0.504846,0.310591,0.490849,0.310704,0.485679,0.31066,0.480098,0.310831,0.499576,0.315802,0.466165,0.318454,0.503325,0.343693,0.490388,0.344759,0.528103,0.40751,0.424547,0.420778,0.514673,0.51461,0.403981,0.547742,0.50999,0.601804,0.399292,0.657872,0.518048,0.640228,0.389379,0.694216,0.51675,0.640071,0.398061,0.696149,0.511908,0.62967,0.403124,0.682918,0.508474,0.634632,0.44764,0.63452,0.511004,0.811594,0.434149,0.807496,0.517147,0.928016,0.416375,0.922343,0.515113,0.95088,0.417114,0.942618,0.539038,0.987219,0.431648,0.986855
outputs/frames/train/squats/v_BodyWeightSquats_g08_c01/frame_0002.jpg,v_BodyWeightSquats_g08_c01,squats,train,2,0.499821,0.333189,0.499326,0.31581,0.501401,0.315705,0.503215,0.315553,0.49046,0.315432,0.486056,0.315235,0.481015,0.315357,0.496405,0.320375,0.465328,0.323211,0.501859,0.34928,0.489927,0.352123,0.528068,0.408499,0.424839,0.423925,0.514748,0.524563,0.404192,0.559146,0.518775,0.626625,0.405584,0.67101,0.522057,0.65563,0.397864,0.712374,0.51921,0.656725,0.405944,0.714437,0.513808,0.645408,0.41025,0.700483,0.509369,0.637182,0.446552,0.635716,0.511068,0.819366,0.432972,0.819426,0.510662,0.935682,0.418779,0.929287,0.501735,0.939598,0.416613,0.949758,0.534165,0.994338,0.434126,0.993847
outputs/frames/train/squats/v_BodyWeightSquats_g08_c01/frame_0003.jpg,v_BodyWeightSquats_g08_c01,squats,train,3,0.498956,0.325757,0.499175,0.310002,0.501396,0.309898,0.503486,0.309706,0.489564,0.309602,0.484501,0.309375,0.479245,0.309372,0.498514,0.314817,0.464175,0.316985,0.501621,0.342742,0.488527,0.344616,0.527151,0.406613,0.425935,0.42108,0.516551,0.514546,0.406184,0.553437,0.520799,0.615728,0.403445,0.668346,0.524321,0.644143,0.39224,0.706603,0.522731,0.64536,0.399971,0.711416,0.517229,0.634771,0.404385,0.699253,0.509421,0.635411,0.44826,0.634942,0.510199,0.814421,0.434417,0.812153,0.511719,0.93528,0.416944,0.929215,0.502683,0.939826,0.40878,0.947274,0.539876,0.989183,0.434386,0.992563
outputs/frames/train/squats/v_BodyWeightSquats_g08_c01/frame_0004.jpg,v_BodyWeightSquats_g08_c01,squats,train,4,0.502801,0.319948,0.501783,0.304822,0.503626,0.304787,0.505362,0.304648,0.493064,0.304173,0.48827,0.303912,0.483166,0.303877,0.499017,0.310397,0.467589,0.312214,0.504076,0.337663,0.491959,0.339688,0.528873,0.404005,0.428409,0.419315,0.518397,0.510926,0.407342,0.550492,0.521263,0.591901,0.403847,0.6649,0.528218,0.63386,0.394136,0.704954,0.527894,0.634647,0.401421,0.707228,0.522471,0.624746,0.405746,0.695796,0.508845,0.637135,0.447585,0.636975,0.511105,0.81286,0.431903,0.814556,0.514476,0.935296,0.41461,0.930649,0.514346,0.958495,0.416564,0.932616,0.542548,0.990173,0.433984,0.993988
outputs/frames/train/squats/v_BodyWeightSquats_g08_c01/frame_0005.jpg,v_BodyWeightSquats_g08_c01,squats,train,5,0.507501,0.317139,0.50557,0.30236,0.507028,0.302206,0.508361,0.301975,0.497796,0.302091,0.49346,0.301893,0.488483,0.301731,0.500434,0.307886,0.472454,0.309237,0.508685,0.33411,0.497387,0.336309,0.531123,0.403007,0.430213,0.417067,0.520155,0.511747,0.409904,0.548407,0.524934,0.612224,0.406293,0.661855,0.528329,0.640282,0.39656,0.700168,0.52631,0.641522,0.403373,0.702521,0.52089,0.631054,0.407751,0.691477,0.510961,0.635513,0.450196,0.635751,0.512246,0.815075,0.434414,0.812354,0.515529,0.931442,0.414142,0.929454,0.506654,0.942411,0.40856,0.948297,0.546768,0.985764,0.432798,0.992241
outputs/frames/train/squats/v_BodyWeightSquats_g08_c01/frame_0006.jpg,v_BodyWeightSquats_g08_c01,squats,train,6,0.511218,0.310416,0.508197,0.295185,0.509348,0.295023,0.510347,0.294756,0.500977,0.29529,0.496593,0.2953,0.491677,0.295275,0.500425,0.301719,0.474811,0.303726,0.512516,0.327376,0.501732,0.328448,0.531028,0.399562,0.435072,0.413285,0.523078,0.514009,0.414406,0.550735,0.526012,0.612408,0.411056,0.668705,0.527602,0.643318,0.403663,0.706278,0.528278,0.641817,0.41095,0.708922,0.522735,0.63908,0.414991,0.699126,0.51127,0.63387,0.450967,0.634844,0.511962,0.815125,0.431947,0.820608,0.524665,0.940863,0.413338,0.93517,0.517362,0.96042,0.409979,0.957588,0.551356,0.991138,0.432562,1.001686
outputs/frames/train/squats/v_BodyWeightSquats_g08_c01/frame_0007.jpg,v_BodyWeightSquats_g08_c01,squats,train,7,0.513839,0.307255,0.510796,0.292905,0.511455,0.292761,0.511965,0.292628,0.504873,0.292492,0.501131,0.292182,0.496689,0.292042,0.501075,0.298467,0.479586,0.298968,0.511747,0.323762,0.503451,0.326497,0.532808,0.392342,0.434478,0.407222,0.534465,0.514613,0.41901,0.542998,0.54659,0.628954,0.41583,0.66536,0.554058,0.667891,0.40908,0.702911,0.550097,0.668568,0.417553,0.706679,0.546381,0.658759,0.422217,0.69563,0.512314,0.627132,0.450853,0.628555,0.512976,0.811315,0.435735,0.801154,0.524807,0.943353,0.412505,0.934541,0.517096,0.965053,0.405434,0.955894,0.551265,0.991262,0.422179,0.996062
outputs/frames/train/squats/v_BodyWeightSquats_g08_c01/frame_0008.jpg,v_BodyWeightSquats_g08_c01,squats,train,8,0.515535,0.299845,0.51244,0.284657,0.513425,0.284352,0.514178,0.283901,0.505533,0.284622,0.501114,0.284415,0.49623,0.28422,0.503562,0.289741,0.479313,0.291478,0.515268,0.316655,0.505949,0.317708,0.537462,0.391552,0.437875,0.404138,0.551109,0.507689,0.431671,0.543667,0.568126,0.609021,0.433399,0.667434,0.579445,0.644231,0.426132,0.710243,0.578368,0.6461,0.436391,0.712216,0.573829,0.631716,0.44142,0.697153,0.508337,0.616321,0.448066,0.613937,0.515006,0.795805,0.438165,0.77857,0.516885,0.923388,0.41202,0.918452,0.511076,0.945633,0.403496,0.942019,0.544467,0.971704,0.421946,0.979503
outputs/frames/train/squats/v_BodyWeightSquats_g08_c01/frame_0009.jpg,v_BodyWeightSquats_g08_c01,squats,train,9,0.512245,0.292262,0.511096,0.277337,0.512378,0.277564,0.513449,0.277705,0.503583,0.276119,0.4993,0.275659,0.494485,0.275085,0.504828,0.283771,0.478261,0.281432,0.512832,0.309023,0.502677,0.307909,0.539939,0.38356,0.440575,0.38679,0.572991,0.503782,0.449182,0.527671,0.61584,0.614439,0.467006,0.663571,0.631624,0.64806,0.468594,0.70629,0.628481,0.648854,0.48028,0.706579,0.62177,0.638351,0.481405,0.691287,0.509034,0.617276,0.44575,0.614331,0.517208,0.783442,0.436321,0.795033,0.517336,0.920166,0.408809,0.944509,0.510664,0.927457,0.404987,0.962599,0.537103,0.978432,0.420962,1.002181
